
qstr_Next_Page|下 一 页 
qstr_Enemy_Lords:_{reg0}|敌 军 领 主 ： {reg0}
qstr_Victories:_{reg0}|胜 利 ： {reg0}
qstr_Defeats:_{reg0}|失 败 ： {reg0}
qstr_Quests_Completed:_{r|任 务 完 成 ： {reg0}
qstr_Companions_Found:_{r|同 伴 加 入 人 数 ： {reg0}
qstr_Companions_Lost/Depa|同 伴 失 散 人 数 ： {reg0}
qstr_Wealth:_{reg0}_denar|财 富 ： {reg0}第 纳 尔 
qstr_Inventory:_{reg0}_de|物 品 栏 中 的 财 富 ： {reg0}第 纳 尔 
qstr_Renown:_{reg0}|声 望 ： {reg0}
qstr_Experience:_{reg0}|经 验 ： {reg0}
qstr_Days_Passed:_{reg0}|天 数 ： {reg0}
qstr_Difficulty:_{reg0}%|难 度 ： {reg0}% 
qstr_{!}{reg3?+:}{reg0}|{!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0}|总 分 数 ： {reg0}
qstr_{!}DEBUG____Adding_{|{!}调 试 ： 添 加 {reg3} 物 品 给 {s3}
qstr_{s0}__{s50}_|{s0}({s50})
qstr_None|无 
qstr_{s55}__{reg0}%_|{s55}({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|职 员 :
qstr_You_paid_{reg0}_dena|你 支 付 了 {reg0}第 纳 尔 现 金 以 偿 还 债 务 。
qstr_Earlier_cash:|此 前 现 金 :
qstr_New_cash:|当 前 现 金 :
qstr_Name:_{s1}^Level:_{r|姓 名 : {s1}^等 级 : {reg1}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|武 器 升 级 设 置 :
qstr_Damage_preference|伤 害 类 型 偏 好 
qstr_Item_meta_type|物 品 类 别 
qstr_cut|挥 砍 
qstr_pierce|刺 击 
qstr_blunt|钝 击 
qstr_Apply_to_everyone|应 用 到 所 有 人 
qstr_Upgrade_armor|升 级 护 甲 
qstr_Upgrade_horse|升 级 马 匹 
qstr_Select_your_domestic|调 整 您 的 内 政 
qstr_Centralization:|中 央 集 权 :
qstr_Aristocracy:|贵 族 统 治 :
qstr_Serfdom:|农 奴 体 制 :
qstr_Troop_quality:|军 队 质 量 :
qstr_Mercantilism:|商 业 贸 易 :
qstr_High_centralization_|强 化 中 央 集 权 将 增 加 国 王 的 收 入 ，但 也 会 损 害 封 臣 的 收 入 并 恶 化 他 们 与 国 王 的 关 系 。
qstr_High_aristocracy_wil|强 化 贵 族 统 治 将 改 善 国 王 与 封 臣 们 之 间 的 关 系 ，更 多 的 自 主 权 使 封 臣 有 能 力 维 持 更 大 规 模 的 军 队 ， 但 会 使 贸 易 受 损 。
qstr_High_serfdom_reduces|强 化 农 奴 体 制 将 增 加 国 王 与 封 臣 的 收 入 ，从 而 使 封 臣 有 能 力 维 持 更 大 规 模 的 军 队 ，但 会 使 部 队 丧 失 士 气 。
qstr_High_troop_quality_i|强 化 军 队 质 量 将 提 高 军 队 的 战 斗 力 ，但 会 缩 减 军 队 最 大 规 模 。
qstr_High_mercantilistic_|强 化 商 业 贸 易 将 扩 大 出 口 并 缩 减 进 口 ，同 时 提 高 政 府 对 工 业 的 管 制 。
qstr_Cancel|取 消 
qstr_Dictate_the_peace_te|拟 定 终 战 协 议 
qstr_Select_the_castle_an|索 要 领 土 及 战 争 赔 款 。请 指 定 领 土 与 金 额 ，并 打 钩 。 全 部 打 钩 意 味 着 对 方 需 要 同 时 满 足 割 地 与 赔 款 两 项 要 求 。 
qstr_1000_denars|1000 第 纳 尔 
qstr__Faction_Relations_R| 阵 营 关 系 报 告 
qstr__Return_to_menu_| 返 回 选 单 
qstr_Your_kingdom|你 的 王 国 
qstr_Player^Relation|玩 家 ^关 系 
qstr_{!}DEBUG___Drawing_l|{!}调 试 ： 划 线 {reg20}
qstr_War|战 争 
qstr_Casus_Belli|宣 战 
qstr_Peace|和 平 
qstr_Truce|休 战 
qstr_Alliance|同 盟 
qstr_Defense|防 御 
qstr_Trade|贸 易 
qstr_{reg59?{reg59}_days:|{reg59?{reg59}天 :}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|忠 诚 的 
qstr_Devoted|忠 实 的 
qstr_Fond|喜 欢 的 
qstr_Gracious|亲 切 的 
qstr_Friendly|友 好 的 
qstr_Supportive|支 援 的 
qstr_Favorable|赞 同 的 
qstr_Cooperative|合 作 的 
qstr_Accepting|信 任 的 
qstr_Indifferent|冷 淡 的 
qstr_Suspicious|猜 疑 的 
qstr_Grumbling|抱 怨 的 
qstr_Hostile|敌 对 的 
qstr_Resentful|怨 恨 的 
qstr_Angry|发 怒 的 
qstr_Hateful|憎 恨 的 
qstr_Revengeful|报 复 的 
qstr_Vengeful|复 仇 的 
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61}{reg58?({reg58}U) :}领 地 
qstr_{reg62}_Caravans|{reg62}商 队 
qstr_{reg60}_{reg59?_{reg|{reg60}{reg59?({reg59}P) :}领 主 
qstr_How_will_your_male_v|你 的 男 性 封 臣 的 称 号 是 什 么 ？
qstr_How_will_your_female|你 的 女 性 封 臣 的 称 号 是 什 么 ？
qstr_Sell_items_automatic|离 开 时 自 动 出 售 物 品 :
qstr_Price_limit_for_auto|自 动 出 售 的 最 高 价 格 :
qstr_Item_types_for_auto_|自 动 出 售 的 物 品 类 型 :
qstr_Select_all|全 选 
qstr_Select_invert|反 选 
qstr_Buy_food_automatical|离 开 时 自 动 购 买 食 物 。 
qstr_*|*
qstr__Courtships_in_progr|求 爱 进 程 
qstr__Known_Lords_by_Rela|与 认 识 领 主 的 关 系 
qstr__Character_&_Compani|角 色 & 同 伴 
qstr__Done_|完 成 
qstr_Your_supporters|你 的 支 持 者 
qstr_{s10}s|{s10}s 
qstr_All_Factions|所 有 阵 营 
qstr_Default_camera_mode|默 认 镜 头 模 式 
qstr_Keyboard|键 盘 
qstr_Mouse|鼠 标 
qstr_Follower|随 从 
qstr_Raise_camera|镜 头 上 升 
qstr_Lower_camera|镜 头 下 降 
qstr_Lower_sensitivity|降 低 灵 敏 度 
qstr_Tilt_left|向 左 倾 斜 
qstr_Prev_troop|上 支 部 队 
qstr_Raise_sensitivity|提 高 灵 敏 度 
qstr_Tilt_right|向 右 倾 斜 
qstr_Next_troop|下 支 部 队 
qstr_Zoom_in|镜 头 拉 近 
qstr_Rotate_up|向 上 转 
qstr_Zoom_out|镜 头 远 离 
qstr_Rotate_down|向 下 转 
qstr_Rotate_left|向 左 转 
qstr_Rotate_right|向 右 转 
qstr_Press_a_key|指 定 任 意 键 
qstr_Export/Import|导 出 /导 入 
qstr_Reselect_Banner|重 选 旗 帜 
qstr__Renown:_{reg1}^_Hon|声 望 ： {reg1}^ 荣 誉 ： {reg2}^ 统 治 权 ： {reg3}
qstr_{s2}^{s8}^_{s5}_|{s2}^{s8}^({s5})
qstr__Renown:_{reg2}^{s2}|声 望 ： {reg2}^{s2}^{s1}在 {s0}
qstr_Name:_{s4}^Level:_{r|名 称 ： {s4}^ 等 级 ： {reg3}^ 生 命 值 ： {reg2}/{reg0}^^{s0}
qstr_Arms|武 器 
qstr_Outfit|装 备 
qstr_Horse|马 
qstr_{s5}^^{s6}^^{s7}|{s5}^^{s6}^^{s7}
qstr_Attributes:|属 性 ：
qstr_{s3}^STR:_{reg1}^AGI|{s3}^力 量 ： {reg1}^敏 捷 : {reg2}^智 力 ： {reg3}^魅 力 ： {reg4}
qstr_{s3}^^Proficiencies:|{s3}^^熟 练 度 ： ^单 手 武 器 ： {reg1}^双 手 武 器 ： {reg2}^{s13}: {reg3}^{s14}: {reg4}^{s15}: {reg5}^ 投 掷 ： {reg6}
qstr_Skills:|技 能 ：
qstr_{s4}^{s1}_:_{reg1}|{s4}^{s1} : {reg1}
qstr_{reg1}^value|{reg1}^数 值 
qstr_{reg2}^index|{reg2}^指 标 
qstr_{reg6}^money_in_the_|{reg6}^第 纳 尔 在 {reg5?国 库 :金 库 } 中 
qstr_{reg4}^money_in_your|{reg4}^第 纳 尔 在 你 的 物 品 栏 中 
qstr_Withdraw|取 款 
qstr_Deposit|存 款 
qstr_F5___Additional_form|F5 - 其 他 阵 型 
qstr_F8___Memorize_div._p|F8 - 保 存 纵 队 排 布 
qstr_F9___Default_divisio|F9 - 默 认 纵 队 排 布 
qstr_F5___Ranks|F5 - 排 阵 
qstr_F6___Shieldwall|F6 - 盾 墙 
qstr_F7___Wedge|F7 - 楔 形 阵 
qstr_F8___Square|F8 - 方 阵 
qstr_F9___No_Formation|F9 - 无 阵 型 
qstr_Extended_Formations_|拓 展 阵 型 及 AI 选 项 : 
qstr_Disable_mod_formatio|禁 用 阵 型 模 组 : 
qstr_Put_player_in_divisi|将 玩 家 置 于 该 纵 队 : 
qstr_Army_rotates_to_face|部 队 面 向 敌 军 中 心 : 
qstr_Prevent_AI_from_taki|禁 用 AI 防 御 姿 态 : 
qstr_Orders|指 令 
qstr_Mount|上 马 
qstr_Attack_Order|攻 击 指 令 
qstr_Fall_Back|退 后 
qstr_Advance|前 进 
qstr_Retreat|撤 退 
qstr_Stand_Ground|站 岗 
qstr_Charge|冲 锋 
qstr_Follow_Me|随 我 来 
qstr_Hold_This_Position|坚 守 此 地 
qstr_Spread_Out|散 开 
qstr_Stand_Closer|聚 拢 
qstr_Form_5_Rows|组 成 5 行 
qstr_Form_4_Rows|组 成 4 行 
qstr_Form_3_Rows|组 成 3 行 
qstr_Form_2_Rows|组 成 2 行 
qstr_Form_1_Rows|组 成 1 行 
qstr_Shoot_at_Will|自 由 射 击 
qstr_Dismount|下 马 
qstr_Use_Any_Weapon|使 用 任 意 武 器 
qstr_Use_Blunt_Weapons|使 用 钝 击 武 器 
qstr_Use_Ranged_Weapons|使 用 远 程 武 器 
qstr_Use_Melee_Weapons|使 用 近 战 武 器 
qstr_Shoot_on_Command|听 指 令 射 击 
qstr_All_Shoot_Now|全 员 射 击 
qstr_Left_Group_Shoot_Now|左 翼 射 击 
qstr_Right_Group_Shoot_No|右 翼 射 击 
qstr_Centre_Group_Shoot_N|中 路 射 击 
qstr_Hold_Shots|停 止 射 击 
qstr_Form_Ranks|排 阵 
qstr_Shieldwall|盾 墙 
qstr_Form_Wedge|楔 形 阵 
qstr_Form_Square|方 阵 
qstr_Break_Formation|解 散 阵 型 
qstr_Ready|准 备 
qstr_Wounded|受 伤 
qstr_Dead|死 亡 
qstr_{!}DEBUG_:_Completed|{!}调 试 ： 完 成 部 队 部 署 ， 作 弊 模 式 ： {reg3}
qstr_{!}ERROR:_Not_enough|{!}错 误 ： 旗 帜 种 类 不 足 ！
qstr_{!}DEBUG____initial_|{!}调 试 ：初 始 战 争 /和 平 检 查 
qstr_{!}DEBUG_:_Completed_|{!}调 试 ： 完 成 政 治 事 件 ， 作 弊 模 式 ： {reg3}
qstr_{!}DEBUG_:_Assigned_|{!}调 试 ：设 置 爱 情 兴 趣 。吸 引 力 种 子 ： {reg3}
qstr_{!}DEBUG_:_Located_k|{!}调 试 ：定 位 王 国 内 的 女 士 ，作 弊 模 式 ： {reg3}
qstr_{!}DEBUG_:_SYSTEM_ER|{!}调 试 ： 系 统 错 误 ！
qstr__near_{s10}| 在 {s10}附 近 
qstr_Your_recruiter_who_w|你 委 派 征 召 {reg10}名 新 兵 到 {s13}的 募 兵 官 员 {s10}被 打 败 !
qstr_Your_caravan_sending|你 运 送 {s12}到 {s13}的 商 队 {s10}遭 到 劫 掠 ！
qstr_Your_messenger_on_th|你 的 信 使 在 前 往 {s13}的 途 中 {s10}遭 到 伏 击 !
qstr_Your_soldiers_patrol|你 的 {s13}巡 逻 士 兵 {s10}被 击 败 !
qstr_A_scout_trying_to_ga|一 名 负 责 收 集 {s13}信 息 的 探 子 {s10}被 发 现 并 杀 害 ！ 
qstr_Reinforcements_from_|从 {s12}驰 援 {s13}的 增 援 部 队 {s10}遭 到 阻 击 !
qstr_{!}DEBUG_:_Prisoner_|{!}调 试 ： 囚 犯 获 得 假 释 
qstr_{!}DEBUG_:_Prisoner_n|{!}调 试 ： 囚 犯 未 获 得 假 释 
qstr_{s1}_of_{s3}_was_def|{s3}的 {s1}在 战 场 上 被 击 败 了 ，但 设 法 逃 离 了 。 
qstr_{!}DEBUG_:_Siege_att|{!}调 试 ： 围 城 方 逃 离 。
qstr_{!}DEBUG:_{s1}_no_lo|{!}调 试 ： {s1} 不 再 领 导 部 队 。
qstr_{!}DEBUG:_{s1}_is_no|{!}调 试 ： {s1} 不 再 是 一 个 囚 犯 。
qstr_{!}DEBUG:_{s1}_is_now|{!}调 试 ： {s1} 现 在 是 玩 家 的 俘 虏 。
qstr_{s1}_is_now_a_prison|{s1}现 在 是 {s2}的 俘 虏 了 。 
qstr_{!}DEBUG:_{s1}_is_now_|{!}调 试 ： {s1} 现 在 是 {s2} 的 俘 虏 。
qstr_{s54}_is_a_claimant_|{s54}声 称 应 由 他 坐 上 {s56}的 王 座 。 
qstr_nowhere|无 
qstr_{s57}_and_{s58}|{s57}和 {s58}
qstr_{!}{s57}_{s58}|{!}{s57}，{s58}
qstr_{reg3?She:He}|{reg3?她 :他 }
qstr_{!}^{s59}|{!}^{s59}
qstr_The_town_of_{s50}|{s50}镇 
qstr_The_village_of_{s50}|{s52}附 近 的 {s50}村 
qstr_{!}{s50}|{!}{s50}
qstr_{s51}_belongs_to_{s1|{s51}归 {s2}的 {s1}所 有 ，这 里 也 是 {reg1?你 的 首 都 :你 的 宫 廷 所 在 地 } 。^ 
qstr_{s51}_belongs_to_{s1}|{s51}归 {s2}的 {s1}所 有 , 这 里 也 是 {reg0?她 的 :他 的 }宫 廷 所 在 地 。 ^
qstr_{s51}_belongs_to_{s1}_|{s51}归 {s2}的 {s1}所 有 , 这 里 也 是 {reg0?她 的 :他 的 }家 庭 所 在 地 。 ^
qstr_{s51}_belongs_to_{s1}_o|{s51}归 {s2}的 {s1}所 有 。 ^
qstr_{s51}_belongs_to_{s2|{s51}归 {s2}所 有 但 是 尚 未 被 授 予 任 何 一 位 领 主 。 ^
qstr_{s51}_belongs_to_{s2}|{s51}归 {s2}所 有 。 ^
qstr_{s2}Its_market_town_|{s2}出 售 商 品 到 {s8} 。^
qstr_{s7}_and_{s8}|{s7}和 {s8}
qstr_{!}{s7}_{s8}|{!}{s7}，{s8}
qstr_{s2}It_has_no_villag|{s2}它 没 有 下 属 的 村 庄 。 ^ 
qstr_{s2}{reg0?Its_villag|{s2}它 {reg0?的 下 属 的 村 庄 是 :的 下 属 的 村 庄 是 }{s8} 。 ^ 
qstr_{s2}Its_prosperity_i|{s2}它 的 繁 荣 度 为 ： {s50}
qstr_noone|无 
qstr_{s9}_and_{s10}|{s9}和 {s10}
qstr_{!}{s9}_{s10}|{!}{s9}，{s10}
qstr_Domestic_policy:_^^|内 政 ： ^^
qstr_{!}DEBUG_:_{s21}.^CH|{!}调 试 ： {s21}.^作 弊 模 式 估 价 ： {s14}^
qstr_{s5}_has_been_defeat|{s5}被 击 败 了 ！ 
qstr_{!}DEBUG____Assigned|{!}调 试 ： 设 置 领 主 声 望 和 关 系 
qstr_{s7}_opened_the_gate|{s7}打 开 大 门 
qstr_{s7}_closed_the_gate|{s7}关 闭 大 门 
qstr_+{reg1}_to_party_mor|部 队 士 气 增 加 {reg1}
qstr_Deliver_{reg5}_units|运 送 {reg5} 个 部 队 给 {s5}
qstr_Requires_{reg1}_inte|需 要 {reg1}点 智 力 才 能 阅 读 
qstr_Reading_Progress:_{r|阅 读 进 度 ： {reg1}% 
qstr_wound_treament|疗 伤 
qstr_trainer|教 练 
qstr_surgery|手 术 
qstr_+1_to_{s1}_while_in_|置 于 物 品 栏 时 加 一 点 {s1}技 能 
qstr_item_score:{reg0}_va|物 品 编 号 ： {reg0}， 价 值 ： {reg1}
qstr_Move_here|移 动 至 此 
qstr_View_notes|查 看 记 录 
qstr_Accompany|随 行 
qstr_Attach|合 流 或 迁 移 
qstr_Inspect|检 查 
qstr_Detach_{s1}_at_{reg1|将 {s1}部 署 在 {reg1}，{reg2}
qstr_Detach_All|全 部 分 遣 
qstr_Win_Battle|获 胜 
qstr_Lose_Battle|战 败 
qstr_{!}_{s61}|{!} {s61}
qstr_{!}DEBUG____ERROR:_M|{!}调 试 ：错 误 ：{s1}拥 有 超 过 15 条 贸 易 路 线 。
qstr_{!}DEBUG____Caravan_|{!}调 试 ：{s4}的 商 队 贸 易 ，始 于 {s5}
qstr_{!}New_tariffs_at_{s|{!}{s4}的 新 关 税 = {reg4}，总 计 = {reg5}
qstr_{!}_DEBUG_loot_playe|{!}调 试 ：劫 掠 玩 家 物 品 ：g 玩 家 投 降 = {reg0}，仁 慈 = {reg1}
qstr_{!}{s4}_is_sent_to_{|{!}{s4}在 战 败 后 被 送 往 {s5}
qstr_{!}DEBUGS_:_enemy_lo|{!}调 试 ：敌 方 损 失 ：{reg0}
qstr_{!}DEBUGS1_:_total_g|{!}调 试 ：总 收 获 ：{reg0}
qstr_{!}DEBUGS2_:_total_g|{!}调 试 ：总 收 获 ：{reg0}
qstr_{!}DEBUGS3_:_num_pla|{!}调 试 ：玩 家 部 队 分 享 人 数 ：{reg0}，总 收 获 ：{reg1}
qstr_killed|死 亡 
qstr_wounded|受 伤 
qstr_{!}{reg3?{reg3}:}_{s|{!}{reg3?{reg3}:} {s1} ({s2})
qstr_{!}{s0}_{reg3?{reg3}|{!}{s0}，{reg3?{reg3}:} {s1} ({s2})
qstr_{!}{s0}^{reg3?{reg3}|{!}{s0}^{reg3?{reg3}:} {s1} ({s2})
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ 总 计 ： {reg3}({s2}) 
qstr_^None|^ 无 
qstr_nothing|无 
qstr_{reg0}_village{reg1?|{reg0}村 庄 {reg1?:}
qstr_{reg0}_castle{reg1?s|{reg0}城 堡 {reg1?:}
qstr_{reg0}_castle{reg1?s:|{reg0}城 堡 {reg1?:}以 及 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0}城 镇 {reg1?:}
qstr_{reg0}_town{reg1?s:}_|{reg0}城 镇 {reg1?:}以 及 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}城 镇 {reg1?:}，{s0}
qstr_{!}DEBUG____Checking|{!}调 试 ：检 查 近 期 废 除 领 主 ，{reg4}天 内 
qstr_{!}DEBUG____Rival_fo|{!}调 试 ：对 手 出 现 于 {s4}
qstr_{!}DEBUG____{s4}_is_|{!}调 试 ：{s4}不 是 玩 家 的 好 友 
qstr_{!}DEBUG____{s4}_has|{!}调 试 ：{s4} 拥 有 {reg3}个 对 手 
qstr_{!}DEBUG____Checking_|{!}调 试 ：检 查 近 期 阴 谋 ，{reg4}天 内 
qstr_{!}DEBUG____Trying_f|{!}调 试 ：针 对 领 主 的 阴 谋 
qstr_{!}DEBUG____{s4}_has_|{!}调 试 ：{s4}与 君 主 的 关 系 足 够 低 
qstr_{!}DEBUG____{s4}_has_s|{!}调 试 ：{s4}与 赠 与 人 部 队 关 系 足 够 低 
qstr_{!}DEBUG____{s4}_has_su|{!}调 试 ：{s4}与 玩 家 关 系 足 够 低 
qstr_{!}DEBUG____Checking_f|{!}调 试 ：检 查 近 期 争 议 解 决 ，{reg4}天 内 
qstr_{!}DEBUG____Checking_fo|{!}调 试 ：检 查 近 期 送 礼 ，{reg4}天 内 
qstr_Battle_Advantage_=_{|战 场 优 势 为 {reg0} 。 
qstr_{s9}_wants_you_to_re|{s9}希 望 你 能 够 在 接 到 进 一 步 的 指 令 以 前 跟 着 他 的 部 队 前 进 。 
qstr_{!}DEBUG___{s4}_fact|{!}调 试 ：{s4}派 系 变 更 （普 通 ）
qstr_{!}DEBUG___{s4}_facti|{!}调 试 ：{s4}派 系 变 更 （因 监 护 人 变 更 引 起 ）
qstr_Tribune|护 民 官 
qstr_{s5}_of_the_{s7}_has|{s7}的 {s5}获 得 了 {s4} 。 
qstr_{s4}_has_been_awarde|{s4}被 授 予 给 了 {s7}的 {s5} 。 
qstr_{!}DEBUG____{s4}_awa|{!}调 试 ：{s4}被 封 赏 给 {s5}
qstr__Being_Raided_|（ 被 掠 夺 中 ） 
qstr__Deserted_|( 已 荒 废 )
qstr__Looted_|（ 已 被 洗 劫 ） 
qstr__Under_Siege_|（ 陷 入 包 围 ） 
qstr_Captured_{reg1}_vill|俘 虏 了 {reg1} 位 村 民 。
qstr_The_village_of_{s1}_|{s1}村 遭 受 了 {s2}的 掠 夺 。 
qstr_The_village_of_{s1}_h|{s1}村 遭 受 了 {s2}的 掠 夺 。 
qstr_{s2}_now_has_{reg2}_|{s2}在 劫 掠 后 持 有 {reg2}第 纳 尔 。
qstr_{s2}_now_has_{reg2}_d|{s2}在 遭 受 劫 掠 后 持 有 {reg2}第 纳 尔 。
qstr_{s3}_is_no_longer_un|{s3}的 包 围 已 解 除 。 
qstr_{!}DEBUG_:_There_are|{!}调 试 ：有 敌 军 ({s6})盘 踞 于 {s7}。
qstr_{!}DEBUG____Calculat|{!}调 试 ：正 在 计 算 战 斗 结 果 ，{s4}{reg3}人 vs 敌 军 {reg4}人 
qstr_Small_bands_of_enemi|{s1}附 近 发 现 小 股 敌 军 。 
qstr_Enemy_patrols_spotte|{s1}附 近 发 现 敌 军 巡 逻 。 
qstr_Medium_sized_group_o|{s1}附 近 发 现 敌 军 中 等 规 模 部 队 。 
qstr_Significant_group_of|{s1}附 近 发 现 敌 军 大 部 队 。 
qstr_Army_of_enemies_spot|{s1}附 近 发 现 敌 军 集 团 。 
qstr_Large_army_of_enemie|{s1}附 近 发 现 大 规 模 敌 军 集 团 。 
qstr_Great_host_of_enemie|{s1}附 近 发 现 超 大 规 模 敌 军 集 团 。 
qstr_{!}DEBUG_:_{s7}_is_h|{!}调 试 ：{s7}正 在 协 助 他 的 指 挥 官 与 {s6}作 战 。
qstr_{s10}_constructs_a_{|{s10}在 {s4}建 造 了 一 个 {s0}
qstr_{s0}_collects_{reg0}|{s0}从 {s4}收 取 了 {reg0}第 纳 尔 ，当 前 财 富 :{reg1}第 纳 尔 
qstr__{s10}_of_{s13}_recr|{s13}的 {s10}在 {s14}招 募 了 {reg2} {s12}
qstr_{s10}_hires_{reg2}_{|{s10} 从 {s4}雇 佣 了 {reg2} {s12}
qstr_{s10}_upgrades_{s3}{|{s10} 在 {s4}升 级 了 {s3}{s11} ( 花 费 了 {s1}) ， 剩 余 {reg0}第 纳 尔 。
qstr_{s1}_spends_time_in_|{s1}在 {s2}待 了 一 段 时 间 ， {reg1} -> {reg2} 第 纳 尔 
qstr_{s1}_has_been_besieg|{s1}被 来 自 {s3}的 {s2}包 围 。 
qstr__{s1}__{s11}:_{s14}|（{s1}） {s11}： {s14}
qstr_{s14}__{s21}_|{s14}（{s21}） 
qstr_{!}DEBUG____{s4}_dro|{!}调 试 ：{s4}放 弃 了 {s5}，因 为 它 已 经 易 主 。
qstr_{!}DEBUG____Issue_re|{!}调 试 ：{s4}的 问 题 解 决 方 案 ：{reg4}投 票 达 到 {reg5}的 法 定 人 数 ，{reg7}小 时 议 程 
qstr_{!}DEBUG____Faction_|{!}调 试 ：派 系 解 决 了 政 治 问 题 
qstr_{s5}_has_the_greates|{s4}的 {s5}在 元 帅 选 举 中 拥 有 最 多 的 支 持 者 ，但 是 {s0}否 决 了 他 们 的 决 议 。 
qstr_{s5}_has_the_greatest|{s4}的 {s5}在 {s1}的 归 属 问 题 上 拥 有 最 多 的 支 持 者 ，但 是 {s0}否 决 了 他 们 的 决 议 。 
qstr_{s5}_has_the_greatest_|{s4}的 {s5}在 元 帅 选 举 中 拥 有 最 多 的 支 持 者 ，但 是 {s0}否 决 了 他 们 的 决 议 。 
qstr_{s5}_has_the_greatest_s|{s4}的 {s5}在 {s1}的 归 属 问 题 上 拥 有 最 多 的 支 持 者 ，但 是 {s0}否 决 了 他 们 的 决 议 。 
qstr_{!}DEBUG____{s4}_drop|{!}调 试 ：{s4}作 为 胜 利 者 放 弃 了 {s5}，因 为 已 经 改 变 了 阵 营 
qstr_{s1}_is_the_new_mars|{s1}是 {s2}的 新 元 帅 。 
qstr_{!}DEBUG____{s4}_par|{!}调 试 ：{s4}加 入 了 攻 击 
qstr_{!}DEBUG____{s4}_cho|{!}调 试 ：{s4}被 作 为 掩 护 
qstr_You_gained_{reg12}_r|你 获 得 了 {reg12}点 声 望 。 
qstr_You_lose_{reg12}_ren|你 失 去 了 {reg12}点 声 望 。 
qstr_Your_relation_with_{|你 与 {s1}的 关 系 提 升 了 。 
qstr_Your_relation_with_{s|你 与 {s1}的 关 系 恶 化 了 。 
qstr_{!}_There_is_widespr|{!}{s1}中 有 人 正 在 散 布 对 你 的 不 利 言 论 。
qstr_You_gain_honour.|你 获 得 荣 誉 。 
qstr_You_lose_honour.|你 失 去 荣 誉 。 
qstr_{s1}_has_declared_wa|{s1}已 经 向 {s2}宣 战 。 
qstr_{!}Debug___{s5}_cara|{!}调 试 ：{s5}商 队 遭 到 袭 击 
qstr_{s0}_is_laying_siege|{s0}正 在 围 攻 {s1} 。 
qstr_{s0}_is_patrolling_a|{s0}正 在 {s1}周 围 巡 逻 。 
qstr_{s0}_is_raiding_arou|{s0}正 在 袭 击 {s1} 。 
qstr_{s0}_is_engaging_{s1|{s0}正 在 接 近 {s1} 。 
qstr_{s0}_is_accompanying|{s0}正 在 陪 同 {s1} 。 
qstr_{s0}_is_screening_th|{s0}正 在 悄 悄 逼 近 {s1} 。 
qstr_{s0}_is_trading_with|{s0}正 在 和 {s1}交 易 。 
qstr_{s0}_is_retreating_t|{s0}正 在 向 {s1}撤 退 。 
qstr_{s0}_is_visiting_{s1|{s0}正 在 拜 访 {s1} 。 
qstr_{s1}_and_{s2}_have_m|{s1}与 {s2}已 经 达 成 了 停 战 协 议 。 
